mass, logp, h_d, h_a, rot_b, tpsa, target
246.31, 2.59, 0, 3, 2, 43.37, antineoplastic
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
325.77, 4.32, 0, 3, 1, 30.18, cns
109.13, -0.27, 1, 3, 0, 27.63, antineoplastic
371.39, 2.58, 1, 8, 4, 103.55, cardio
528.69, 4.53, 2, 7, 0, 94.45, antiinfective
404.93, 5.56, 2, 4, 5, 74.6, antineoplastic
328.15, 3.27, 0, 4, 4, 59.75, antiinfective
1802.31, 9.07, 2, 33, 25, 459.69, cardio
334.75, 2.16, 1, 4, 6, 69.23, cns
767.88, 12.75, 4, 4, 12, 115.06, antiinfective
455.47, -0.62, 3, 11, 7, 173.51, antiinfective
284.35, 2.19, 1, 5, 0, 57.15, antiinfective
464.86, 0.11, 6, 9, 2, 181.62, antiinfective
497.02, 4.21, 4, 8, 4, 164.0, antiinfective
1368.37, 3.2, 8, 27, 22, 308.44, antineoplastic
375.37, 5.85, 1, 2, 3, 50.19, antineoplastic
109.13, 0.57, 1, 2, 1, 33.12, cardio
219.33, 2.98, 1, 2, 3, 23.47, cns
167.06, -3.17, 2, 5, 4, 112.52, antiinfective
877.05, 4.74, 6, 15, 5, 216.66, antiinfective
393.36, 1.99, 1, 8, 2, 124.56, antineoplastic
358.42, 2.43, 2, 7, 4, 110.57, antiinfective
292.03, 1.3, 1, 3, 2, 86.23, antineoplastic
283.24, -2.69, 5, 9, 2, 159.51, antineoplastic
430.6, 3.69, 1, 4, 7, 73.36, cns
249.31, 1.94, 1, 4, 2, 41.93, cns
516.46, 1.03, 7, 11, 7, 211.28, antiinfective
262.3, -0.15, 0, 6, 13, 61.98, antineoplastic
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
504.97, 0.51, 5, 8, 9, 148.79, antiinfective
626.02, 6.95, 2, 3, 4, 58.56, antiinfective
822.99, 2.79, 5, 15, 8, 209.13, cardio
333.39, -0.47, 1, 5, 4, 89.54, antiinfective
583.6, -0.55, 5, 10, 7, 211.08, antiinfective
529.46, 1.66, 3, 10, 10, 158.18, antiinfective
281.48, 5.51, 1, 1, 15, 43.09, cns
480.57, -1.28, 2, 10, 7, 150.04, antiinfective
875.04, -1.16, 16, 13, 23, 532.36, antineoplastic
556.74, 5.76, 3, 6, 16, 121.13, antineoplastic
298.34, 0.24, 3, 5, 6, 113.09, antiinfective
377.44, 0.14, 1, 6, 6, 98.77, antiinfective
531.55, -2.24, 2, 9, 8, 193.71, antiinfective
197.38, 2.51, 0, 0, 0, 0.0, cns
296.33, 3.06, 1, 3, 1, 72.63, cardio
405.44, 2.36, 3, 5, 6, 70.95, cardio
226.24, 2.5, 1, 3, 1, 54.98, cns
350.5, 4.34, 2, 3, 12, 66.76, cardio
1620.69, -5.62, 22, 24, 35, 702.02, antiinfective
396.63, 1.05, 4, 4, 6, 135.28, cardio
248.72, 2.52, 2, 4, 2, 77.82, antiinfective
379.39, -2.5, 6, 8, 11, 196.12, antineoplastic
273.36, 2.01, 1, 2, 5, 60.16, cns
448.39, 4.86, 1, 4, 7, 44.81, cns
256.1, -1.86, 5, 7, 4, 153.75, antineoplastic
528.95, 9.15, 1, 2, 10, 23.47, antiinfective
458.42, -3.23, 5, 10, 2, 207.51, antiinfective
514.59, -1.04, 2, 10, 7, 153.92, antiinfective
640.8, 3.49, 3, 8, 12, 161.9, cardio
1151.42, 13.74, 2, 8, 12, 144.82, antiinfective
1449.27, 0.11, 19, 25, 13, 530.49, antiinfective
363.41, 0.59, 4, 5, 9, 132.96, cardio
294.4, 3.77, 0, 3, 1, 25.24, cardio
588.83, 5.7, 4, 6, 3, 116.45, antineoplastic
81.07, -0.66, 1, 2, 0, 60.36, antiinfective
584.77, -9.1, 8, 16, 10, 332.71, antiinfective
837.06, 2.21, 5, 17, 13, 216.89, antiinfective
1155.45, -5.83, 18, 18, 28, 490.66, antiinfective
211.22, -0.5, 2, 6, 2, 90.37, antiinfective
1111.34, 2.34, 6, 18, 9, 332.4, antiinfective
592.69, 0.62, 8, 10, 14, 267.4, antiinfective
294.31, 0.33, 4, 4, 7, 115.73, cns
707.81, 1.29, 7, 13, 6, 230.99, antiinfective
463.5, 5.91, 2, 6, 9, 78.63, antiinfective
1183.26, 1.55, 8, 26, 18, 359.34, antineoplastic
100.12, 0.55, 0, 2, 4, 34.14, antiinfective
391.56, 6.86, 2, 2, 6, 49.33, antineoplastic
1816.72, 4.17, 21, 29, 22, 572.51, antiinfective
600.71, 2.46, 3, 9, 7, 147.16, antiinfective
299.41, 3.36, 1, 3, 3, 40.54, cns
182.19, -1.67, 2, 5, 3, 95.44, antineoplastic
362.43, 3.55, 0, 4, 5, 49.85, antineoplastic
622.93, 7.86, 3, 7, 25, 105.45, antineoplastic
372.72, 2.65, 3, 7, 0, 125.04, antineoplastic
384.43, 2.6, 1, 7, 4, 100.52, antiinfective
426.48, 6.32, 3, 3, 3, 86.04, antineoplastic
284.73, 1.51, 2, 5, 3, 97.97, antiinfective
350.5, 4.34, 2, 3, 12, 66.76, cardio
220.18, 1.02, 4, 5, 0, 97.99, antiinfective
167.26, 2.96, 1, 2, 0, 15.79, antiinfective
129.13, 0.73, 1, 2, 1, 33.12, cardio
284.35, 2.19, 1, 5, 0, 57.15, antiinfective
455.47, -0.62, 3, 11, 7, 173.51, antiinfective
543.73, 5.46, 2, 8, 3, 109.25, antineoplastic
824.97, 3.52, 3, 12, 8, 171.17, antineoplastic
628.64, 4.6, 2, 7, 19, 101.73, antineoplastic
716.39, 11.46, 0, 8, 28, 36.92, antiinfective
186.59, 1.87, 1, 3, 2, 46.53, cns
1009.19, 4.69, 8, 16, 26, 286.99, cardio
447.53, -3.85, 8, 12, 6, 213.72, antiinfective
1110.09, 5.57, 9, 20, 14, 354.89, antineoplastic
209.29, 1.82, 3, 3, 6, 52.49, cardio
963.19, 7.9, 2, 10, 16, 131.8, antineoplastic
237.28, 0.99, 1, 3, 5, 81.59, cns
1270.29, -3.9, 16, 23, 18, 510.14, antiinfective
1269.28, -4.53, 15, 23, 18, 512.97, antiinfective
308.77, 3.16, 0, 2, 2, 32.67, cns
645.67, 2.25, 6, 12, 6, 210.23, antineoplastic
498.56, 4.08, 1, 7, 6, 83.36, antiinfective
315.55, 5.49, 0, 1, 3, 3.24, antineoplastic
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
1793.12, 4.5, 20, 28, 19, 560.98, antiinfective
258.09, 1.96, 2, 3, 1, 36.42, cns
569.61, -7.52, 12, 16, 9, 297.72, antiinfective
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
456.57, 2.72, 3, 6, 6, 110.43, antiinfective
302.37, 2.58, 2, 4, 6, 69.64, antiinfective
249.35, 2.33, 2, 3, 3, 43.7, cns
171.2, -1.47, 3, 2, 0, 100.72, antiinfective
261.3, 0.95, 0, 3, 3, 72.8, cns
610.67, 6.32, 1, 11, 10, 143.34, cardio
244.22, -0.54, 2, 5, 2, 84.32, antiinfective
1879.68, 1.16, 24, 33, 20, 662.41, antiinfective
439.48, -2.28, 1, 13, 7, 158.92, antiinfective
321.9, 5.04, 1, 3, 8, 28.16, antiinfective
531.55, -2.24, 2, 9, 8, 193.71, antiinfective
2092.4, -11.52, 33, 33, 73, 930.19, antiinfective
263.38, 1.19, 3, 3, 8, 81.14, cns
180.25, 1.15, 1, 3, 3, 33.62, cardio
761.85, 3.41, 4, 15, 3, 168.72, antineoplastic
686.81, 6.7, 1, 9, 11, 114.25, cardio
387.52, 5.7, 1, 3, 8, 32.7, antineoplastic
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
653.64, 1.73, 5, 14, 5, 213.51, antineoplastic
389.43, 0.71, 4, 6, 5, 132.96, antiinfective
490.51, -0.51, 7, 10, 2, 201.85, antiinfective
1140.25, -0.93, 14, 17, 14, 377.42, antiinfective
307.44, 4.42, 0, 2, 4, 12.47, cns
1040.24, -4.03, 12, 15, 19, 405.32, cardio
537.62, 5.61, 2, 7, 6, 94.72, antiinfective
556.74, 5.17, 2, 7, 1, 94.45, antiinfective
424.99, 0.39, 4, 7, 7, 102.26, antiinfective
184.21, -2.11, 4, 4, 3, 153.52, antineoplastic
61.02, -1.11, 1, 2, 0, 60.36, cns
584.66, -1.51, 8, 12, 4, 206.6, cardio
315.35, 2.91, 2, 4, 3, 84.08, antiinfective
458.5, 1.98, 4, 7, 9, 152.69, antineoplastic
462.51, 0.04, 5, 9, 7, 174.53, antiinfective
1097.4, 10.4, 4, 16, 1, 213.62, antiinfective
669.67, -1.94, 4, 11, 12, 245.7, antiinfective
211.26, 1.08, 2, 4, 4, 64.71, cardio
813.98, 3.62, 0, 16, 9, 184.19, antiinfective
501.48, 2.7, 1, 13, 11, 166.98, antiinfective
229.24, 1.05, 1, 3, 2, 70.89, cardio
524.87, 11.54, 0, 2, 20, 26.3, antineoplastic
322.37, 2.23, 1, 4, 5, 77.36, cns
270.42, 3.15, 2, 2, 4, 52.04, cns
379.39, -2.5, 6, 8, 11, 196.12, antineoplastic
487.69, 5.82, 1, 7, 12, 87.33, antiinfective
493.62, 4.59, 2, 7, 7, 86.28, antineoplastic
1115.25, 1.55, 13, 20, 14, 403.1, antiinfective
444.49, 1.85, 4, 8, 8, 144.78, antineoplastic
230.26, 2.55, 0, 3, 3, 35.53, cns
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
822.95, 3.43, 6, 15, 4, 216.66, antiinfective
924.09, 0.71, 12, 17, 3, 319.61, antiinfective
370.45, 4.38, 1, 5, 2, 68.9, antiinfective
614.65, -8.9, 13, 19, 9, 353.11, antiinfective
400.99, 4.93, 3, 3, 12, 77.76, cardio
252.34, 2.64, 1, 1, 2, 36.87, cns
547.6, 0.04, 4, 10, 9, 188.39, antiinfective
424.99, 0.39, 4, 7, 7, 102.26, antiinfective
813.93, -1.22, 8, 11, 21, 286.32, cns
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
877.05, 4.74, 6, 15, 5, 216.66, antiinfective
1755.66, 2.69, 23, 28, 30, 598.09, antiinfective
277.35, 3.62, 2, 1, 0, 39.9, antineoplastic
628.81, 4.33, 4, 5, 15, 120.0, antiinfective
937.37, 7.85, 6, 14, 9, 239.4, antiinfective
221.02, 0.74, 3, 1, 6, 61.36, antineoplastic
610.43, 6.5, 1, 6, 8, 122.29, cardio
326.53, 4.45, 2, 2, 6, 24.06, cardio
240.31, 3.38, 1, 4, 3, 50.17, cardio
124.14, 1.41, 2, 2, 0, 40.46, cns
426.39, 3.53, 3, 7, 4, 173.16, antiinfective
738.3, 3.83, 3, 11, 7, 156.47, antineoplastic
496.56, -5.61, 10, 14, 6, 248.39, antiinfective
483.47, 0.63, 5, 10, 3, 176.61, antineoplastic
1449.27, 0.11, 19, 25, 13, 530.49, antiinfective
541.55, 0.87, 5, 11, 2, 166.22, antineoplastic
400.98, 4.24, 1, 4, 5, 26.71, cns
523.57, 0.98, 3, 12, 8, 177.42, antiinfective
309.41, 2.27, 2, 5, 7, 67.79, cardio
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
340.88, 3.29, 2, 3, 8, 72.19, cardio
1968.49, -7.37, 27, 28, 70, 775.42, antiinfective
480.57, -1.28, 2, 10, 7, 150.04, antiinfective
391.56, 5.97, 0, 3, 2, 39.19, antineoplastic
511.57, -0.87, 3, 14, 8, 190.81, antiinfective
1163.16, -16.32, 24, 30, 18, 672.86, antiinfective
581.58, -8.16, 12, 15, 9, 336.43, antiinfective
580.98, -6.92, 0, 14, 11, 259.24, cns
1056.25, 0.82, 13, 20, 5, 358.3, antiinfective
1008.26, 6.99, 4, 15, 10, 199.16, antiinfective
813.89, 2.95, 5, 16, 9, 220.21, antineoplastic
873.09, 5.38, 3, 14, 8, 170.06, antiinfective
306.37, 1.07, 0, 7, 7, 78.89, cns
382.42, -2.12, 1, 8, 5, 129.67, antiinfective
276.29, -0.18, 1, 4, 1, 83.55, cns
550.19, 2.13, 4, 2, 4, 128.8, antineoplastic
416.47, 3.6, 1, 7, 4, 75.61, antineoplastic
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
490.64, 5.63, 2, 5, 9, 78.87, cns
265.36, 2.48, 0, 3, 0, 19.37, cns
1001.05, 3.0, 7, 17, 14, 321.91, antineoplastic
282.3, 3.19, 1, 3, 2, 67.51, antineoplastic
479.53, 3.68, 1, 8, 9, 111.01, cardio
471.55, -0.73, 2, 12, 9, 163.33, antiinfective
335.32, 3.19, 0, 6, 2, 66.88, antineoplastic
257.08, 3.9, 1, 2, 2, 58.93, antiinfective
995.59, -7.33, 15, 26, 12, 528.69, antiinfective
451.53, 6.23, 1, 3, 5, 23.47, cns
866.1, 4.98, 6, 14, 11, 225.92, antiinfective
810.99, 3.99, 3, 12, 7, 154.1, antineoplastic
395.47, 4.45, 1, 6, 4, 85.17, cardio
505.62, 4.74, 3, 7, 12, 78.0, antineoplastic
200.27, 3.29, 1, 2, 1, 28.68, antiinfective
527.53, 1.03, 5, 11, 4, 185.84, antineoplastic
472.46, -0.46, 4, 11, 7, 187.83, antiinfective
342.86, 4.2, 0, 5, 2, 43.07, cns
171.16, -0.77, 2, 4, 4, 114.53, antineoplastic
320.47, 5.43, 1, 2, 14, 49.83, cardio
242.32, 2.0, 2, 2, 0, 58.88, cns
357.41, -1.46, 5, 5, 11, 172.43, antiinfective
1111.34, 2.34, 6, 18, 9, 332.4, antiinfective
690.86, 2.27, 2, 11, 7, 176.42, antiinfective
219.33, 2.98, 1, 2, 3, 23.47, cns
699.75, -0.01, 5, 13, 7, 205.78, antineoplastic
446.49, 3.31, 3, 7, 6, 127.35, antiinfective
365.41, 0.02, 4, 6, 4, 132.96, antiinfective
278.34, 1.48, 2, 5, 3, 97.97, antiinfective
640.8, 3.57, 2, 9, 11, 167.1, cardio
467.65, 3.24, 1, 4, 12, 64.09, cns
265.31, 0.5, 2, 5, 4, 67.79, antiinfective
242.27, 2.75, 0, 3, 0, 43.37, antiinfective
383.54, 4.78, 1, 2, 2, 42.54, antineoplastic
255.23, -1.97, 4, 8, 5, 139.28, antiinfective
809.95, 0.58, 6, 16, 8, 239.05, cardio
283.36, 3.83, 0, 5, 6, 46.61, antiinfective
556.74, 5.76, 3, 6, 16, 121.13, antineoplastic
407.64, 3.54, 1, 5, 3, 91.54, antiinfective
575.62, 0.16, 4, 10, 11, 201.77, cns
152.15, 1.21, 1, 3, 2, 46.53, cns
351.4, 0.17, 2, 7, 1, 96.3, antineoplastic
138.06, -0.09, 2, 2, 1, 70.06, antiinfective
424.39, -0.54, 3, 9, 7, 173.76, antiinfective
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
170.21, 3.06, 1, 1, 1, 20.23, antiinfective
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
520.48, -1.13, 4, 12, 9, 206.3, antiinfective
538.58, -1.57, 2, 9, 6, 176.33, antiinfective
1583.58, -1.43, 18, 32, 37, 601.88, antiinfective
959.13, -1.03, 12, 19, 9, 315.21, antiinfective
351.4, 0.17, 2, 7, 1, 96.3, antineoplastic
486.61, 5.89, 3, 4, 17, 121.13, antiinfective
581.07, 6.14, 2, 8, 11, 106.35, antineoplastic
616.76, 5.25, 5, 5, 12, 149.62, cns
520.45, 4.26, 7, 9, 1, 175.75, antiinfective
369.53, 2.48, 2, 3, 3, 43.7, cardio
435.5, 4.16, 2, 3, 9, 94.91, cardio
171.26, 1.88, 0, 2, 8, 40.13, antiinfective
170.17, -0.23, 5, 5, 2, 98.74, cns
420.93, 5.22, 2, 5, 7, 83.83, antiinfective
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
211.24, -0.2, 1, 3, 3, 81.59, cns
467.49, 1.03, 3, 7, 12, 139.9, cns
264.32, 0.72, 3, 4, 1, 77.76, antineoplastic
509.6, 0.69, 3, 9, 13, 127.82, cardio
705.65, 5.58, 0, 12, 11, 104.7, antiinfective
247.3, 3.08, 2, 3, 4, 67.01, antiinfective
567.8, 4.75, 4, 6, 9, 101.9, antiinfective
339.44, 2.51, 2, 4, 2, 52.93, cns
1030.14, -3.09, 14, 17, 15, 377.42, antiinfective
941.09, 6.07, 5, 16, 5, 226.22, antiinfective
464.57, 6.7, 0, 4, 5, 55.61, cardio
423.54, 2.21, 2, 7, 11, 103.12, cardio
341.28, 3.34, 1, 6, 3, 108.13, antiinfective
283.72, 3.05, 1, 3, 2, 68.87, antineoplastic
695.76, 3.63, 4, 12, 2, 194.99, antiinfective
266.39, 3.0, 2, 2, 2, 52.04, cns
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
303.32, -0.08, 2, 7, 3, 100.35, antiinfective
171.16, -0.95, 2, 3, 5, 116.79, antineoplastic
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
517.57, -4.51, 2, 15, 11, 208.52, antiinfective
577.73, 2.52, 3, 6, 5, 118.21, cardio
289.42, 3.24, 2, 3, 7, 49.33, cardio
316.32, 0.36, 1, 7, 1, 99.12, cns
534.83, 10.05, 0, 3, 16, 43.37, cns
553.58, -2.95, 3, 15, 8, 217.79, antiinfective
954.66, -0.0, 13, 26, 4, 447.09, antineoplastic
440.51, 3.32, 2, 7, 4, 98.85, antineoplastic
252.19, 0.42, 1, 6, 4, 132.38, antineoplastic
1034.2, -2.7, 13, 22, 11, 337.86, antiinfective
